Operation,InputSize,TimeNs,MemoryUsed,Comparisons,Swaps,Accesses,Allocations
buildMaxHeap,100,49900,0,173,70,453,400
extractMaxAll,100,119000,0,865,421,2849,0
increaseKey,100,125200,0,471,471,2655,0
buildMaxHeap,1000,79300,0,1854,727,4762,4000
extractMaxAll,1000,274800,0,14989,7347,47377,0
increaseKey,1000,119600,0,818,818,4390,0
buildMaxHeap,10000,347000,0,18838,7446,48622,40000
extractMaxAll,10000,2333400,0,216611,106782,673739,0
increaseKey,10000,112600,0,1131,1131,5955,0
buildMaxHeap,100000,2303300,400016,188006,74333,485338,400000
extractMaxAll,100000,15476200,0,2831191,1400344,8732567,0
increaseKey,100000,40200,0,1460,1459,7596,0
